iter	Passed	Remaining
635	3671	2101
636	3681	2098
637	3690	2094
638	3699	2089
639	3707	2085
640	3716	2081
641	3723	2076
642	3732	2072
643	3738	2066
644	3751	2064
645	3763	2062
646	3775	2059
647	3785	2056
648	3791	2050
649	3831	2063
650	3839	2058
651	3855	2057
652	3879	2061
653	3912	2070
654	3924	2067
655	3932	2062
656	3964	2069
657	3974	2065
658	3997	2068
659	4007	2064
660	4019	2061
661	4031	2058
662	4039	2053
663	4047	2048
664	4054	2042
665	4062	2037
666	4071	2032
667	4079	2027
668	4084	2021
669	4095	2017
670	4103	2012
671	4113	2007
672	4124	2004
673	4133	1999
674	4142	1994
675	4147	1987
676	4150	1980
677	4153	1972
678	4155	1964
679	4158	1956
680	4161	1949
681	4164	1941
682	4167	1934
683	4169	1926
684	4172	1918
685	4174	1910
686	4177	1903
687	4180	1895
688	4183	1888
689	4186	1880
690	4189	1873
691	4192	1866
692	4196	1859
693	4199	1851
694	4201	1843
695	4204	1836
696	4207	1828
697	4210	1821
698	4213	1814
699	4215	1806
700	4218	1799
701	4221	1792
702	4224	1784
703	4228	1778
704	4232	1771
705	4235	1763
706	4238	1756
707	4241	1749
708	4244	1741
709	4246	1734
710	4249	1727
711	4252	1719
712	4254	1712
713	4257	1705
714	4260	1698
715	4263	1691
716	4265	1683
717	4268	1676
718	4272	1669
719	4274	1662
720	4277	1655
721	4280	1648
722	4283	1641
723	4286	1634
724	4289	1627
725	4292	1619
726	4294	1612
727	4297	1605
728	4299	1598
729	4302	1591
730	4305	1584
731	4308	1577
732	4311	1570
733	4314	1563
734	4318	1556
735	4320	1549
736	4322	1542
737	4325	1535
738	4328	1528
739	4331	1521
740	4334	1515
741	4338	1508
742	4341	1501
743	4346	1495
744	4350	1489
745	4356	1483
746	4361	1477
747	4364	1470
748	4367	1463
749	4370	1456
750	4374	1450
751	4379	1444
752	4382	1437
753	4384	1430
754	4388	1423
755	4390	1417
756	4393	1410
757	4396	1403
758	4399	1396
759	4402	1390
760	4405	1383
761	4408	1377
762	4411	1370
763	4414	1363
764	4416	1356
765	4419	1350
766	4422	1343
767	4425	1336
768	4427	1330
769	4430	1323
770	4433	1316
771	4436	1310
772	4439	1303
773	4441	1297
774	4444	1290
775	4447	1283
776	4449	1277
777	4452	1270
778	4455	1264
779	4458	1257
780	4460	1250
781	4463	1244
782	4466	1237
783	4468	1231
784	4472	1224
785	4476	1218
786	4478	1212
787	4482	1205
788	4484	1199
789	4487	1192
790	4490	1186
791	4492	1179
792	4495	1173
793	4498	1167
794	4501	1160
795	4504	1154
796	4506	1147
797	4509	1141
798	4512	1135
799	4515	1128
800	4519	1122
801	4522	1116
802	4525	1110
803	4528	1103
804	4531	1097
805	4534	1091
806	4536	1085
807	4539	1078
808	4542	1072
809	4545	1066
810	4548	1059
811	4551	1053
812	4554	1047
813	4557	1041
814	4560	1035
815	4564	1029
816	4566	1022
817	4570	1016
818	4572	1010
819	4575	1004
820	4580	998
821	4583	992
822	4586	986
823	4589	980
824	4592	974
825	4595	968
826	4599	962
827	4602	956
828	4605	949
829	4608	943
830	4611	937
831	4614	931
832	4617	925
833	4620	919
834	4623	913
835	4626	907
836	4629	901
837	4632	895
838	4635	889
839	4638	883
840	4641	877
841	4644	871
842	4647	865
843	4650	859
844	4653	853
845	4655	847
846	4659	841
847	4662	835
848	4667	830
849	4672	824
850	4675	818
851	4679	812
852	4682	806
853	4685	801
854	4688	795
855	4691	789
856	4694	783
857	4697	777
858	4700	771
859	4702	765
860	4705	759
861	4708	753
862	4711	747
863	4715	742
864	4717	736
865	4720	730
866	4723	724
867	4726	718
868	4729	712
869	4731	707
870	4734	701
871	4737	695
872	4740	689
873	4743	683
874	4746	678
875	4748	672
876	4751	666
877	4754	660
878	4757	654
879	4759	649
880	4762	643
881	4765	637
882	4768	631
883	4771	626
884	4774	620
885	4776	614
886	4779	608
887	4782	603
888	4785	597
889	4787	591
890	4791	586
891	4794	580
892	4797	574
893	4800	569
894	4803	563
895	4806	557
896	4808	552
897	4811	546
898	4814	540
899	4817	535
900	4819	529
901	4822	523
902	4825	518
903	4828	512
904	4831	507
905	4834	501
906	4837	496
907	4840	490
908	4843	484
909	4846	479
910	4849	473
911	4851	468
912	4854	462
913	4857	457
914	4860	451
915	4863	445
916	4866	440
917	4869	434
918	4872	429
919	4875	423
920	4877	418
921	4880	412
922	4883	407
923	4886	401
924	4889	396
925	4892	390
926	4895	385
927	4897	380
928	4900	374
929	4903	369
930	4906	363
931	4909	358
932	4912	352
933	4915	347
934	4921	342
935	4923	336
936	4926	331
937	4931	325
938	4934	320
939	4937	315
940	4939	309
941	4942	304
942	4945	298
943	4947	293
944	4950	288
945	4953	282
946	4958	277
947	4961	272
948	4964	266
949	4967	261
950	4970	256
951	4973	250
952	4976	245
953	4979	240
954	4982	234
955	4984	229
956	4987	224
957	4990	218
958	4992	213
959	4996	208
960	4999	202
961	5001	197
962	5004	192
963	5007	186
964	5010	181
965	5013	176
966	5015	171
967	5018	165
968	5021	160
969	5024	155
970	5027	150
971	5030	144
972	5032	139
973	5035	134
974	5038	129
975	5041	123
976	5044	118
977	5046	113
978	5049	108
979	5051	103
980	5054	97
981	5056	92
982	5059	87
983	5062	82
984	5064	77
985	5067	71
986	5070	66
987	5073	61
988	5075	56
989	5079	51
990	5082	46
991	5085	41
992	5088	35
993	5091	30
994	5093	25
995	5096	20
996	5098	15
997	5101	10
998	5104	5
999	5106	0
	10066	365
965	10073	354
966	10081	344
967	10088	333
968	10094	322
969	10100	312
970	10104	301
971	10113	291
972	10119	280
973	10125	270
974	10131	259
975	10137	249
976	10144	238
977	10150	228
978	10156	217
979	10161	207
980	10167	196
981	10173	186
982	10177	176
983	10185	165
984	10190	155
985	10193	144
986	10202	134
987	10208	123
988	10214	113
989	10220	103
990	10226	92
991	10235	82
992	10243	72
993	10251	61
994	10260	51
995	10268	41
996	10276	30
997	10285	20
998	10292	10
999	10300	0
